movement_id,artwork_id,artist_id,artwork_title,lender_museum_id,borrower_museum_id,movement_type,start_date,end_date,date_basis,related_exhibition_name,related_exhibition_url,source_type,source_title,source_url,source_date,confidence,notes,last_verified_at
movement_0000068,artwork_0000259,vincent-van-gogh,The Bedroom,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-10-22,1962-07-10,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0047V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000069,artwork_0000259,vincent-van-gogh,The Bedroom,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0047V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000070,artwork_0000260,vincent-van-gogh,Wheatfield with a Reaper,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1927-01-01,1930-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0049V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000071,artwork_0000260,vincent-van-gogh,Wheatfield with a Reaper,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-10-22,1962-07-10,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0049V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000072,artwork_0000260,vincent-van-gogh,Wheatfield with a Reaper,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0049V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000073,artwork_0000261,vincent-van-gogh,Almond Blossom,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0176V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000074,artwork_0000262,vincent-van-gogh,Irises,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1917-01-01,1919-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0050V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000075,artwork_0000262,vincent-van-gogh,Irises,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1927-01-01,1930-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0050V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000076,artwork_0000262,vincent-van-gogh,Irises,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-10-22,1962-07-10,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0050V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000077,artwork_0000262,vincent-van-gogh,Irises,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0050V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000078,artwork_0000263,vincent-van-gogh,Wheatfield under Thunderclouds,van-gogh-museum-amsterdam-netherlands,rijksmuseum-amsterdam-netherlands,loan,1917-01-01,1919-12-31,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0106V1962,,MEDIUM,Borrower parsed from official provenance; year-only loan range expanded to calendar-year boundaries.,2026-03-08
movement_0000079,artwork_0000263,vincent-van-gogh,Wheatfield under Thunderclouds,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0106V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000080,artwork_0000264,vincent-van-gogh,Wheatfield with Crows,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-10-22,1962-07-10,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0149V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000081,artwork_0000264,vincent-van-gogh,Wheatfield with Crows,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0149V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000082,artwork_0000265,vincent-van-gogh,Tree Roots,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1931-01-20,1962-07-10,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0195V1962,,MEDIUM,Borrower parsed from official provenance; loan end boundary inferred from the next dated ownership change in the same provenance sequence.,2026-03-08
movement_0000083,artwork_0000265,vincent-van-gogh,Tree Roots,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0195V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000084,artwork_0000266,vincent-van-gogh,Self-Portrait or Portrait of Theo van Gogh,van-gogh-museum-amsterdam-netherlands,stedelijk-museum-amsterdam-netherlands,loan,1962-07-21,1973-06-02,explicit_dates,Official provenance loan record,,museum_collection_page,Van Gogh Museum object page provenance loan history,https://www.vangoghmuseum.nl/en/collection/s0157V1962,,MEDIUM,Borrower parsed from official provenance; loan start boundary inferred from the latest preceding dated provenance milestone.,2026-03-08
movement_0000853,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,musee-rath-geneva-switzerland,loan,1947-03-22,1947-04-20,explicit_dates,"Vincent Van Gogh, 172 oeuvres",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000855,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,national-gallery-of-australia-canberra-australia,loan,2009-12-04,2010-04-18,explicit_dates,"Van Gogh, Gauguin, Cézanne & beyond, Post-Impressionism from the Musée d'Orsay",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000854,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,the-national-art-center-tokyo-japan,loan,2010-05-26,2010-08-16,explicit_dates,Post-impressionnisme - 115 chefs-d'oeuvre de la collection du musée d'Orsay,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000856,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,de-young-museum-san-francisco-us,loan,2010-09-25,2011-01-18,explicit_dates,"Van Gogh, Gauguin, Cézanne & beyond, Post-Impressionism from the Musée d'Orsay",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000857,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,fundacion-mapfre-madrid-spain,loan,2013-02-02,2013-05-05,explicit_dates,Impresionistas y postimpresionistas. El nacimiento del arte moderno. Obras maestras del Musée d'Orsay,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000858,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,kimbell-art-museum-fort-worth-us,loan,2014-10-19,2015-01-25,explicit_dates,Faces of impressionism : portraits from the Musée d'Orsay,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000859,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,fundacion-mapfre-madrid-spain,loan,2015-10-10,2016-01-10,explicit_dates,El triunfo del color. De Van Gogh à Matisse : colecciones de los museos d'Orsay y de l'Orangerie,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000860,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,national-gallery-of-victoria-melbourne-australia,loan,2017-04-28,2017-07-12,explicit_dates,"Van Heugten, Sjaar, Van Gogh and the seasons",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000861,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,the-courtauld-gallery-london-uk,loan,2022-02-03,2022-05-08,explicit_dates,Self-Portraits,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000862,artwork_0000267,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,louvre-abu-dhabi-united-arab-emirates,loan,2024-10-16,2025-02-09,explicit_dates,Post-impressionnisme : au-delà des apparences,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-14057,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000863,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,kunstmuseum-den-haag-the-hague-netherlands,loan,1953-03-30,1953-05-17,explicit_dates,"de Gruyter, Willem Josiah , Van Gogh",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000864,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,kroller-muller-museum-ede-netherlands,loan,1953-05-23,1953-07-19,explicit_dates,"de Gruyter, Willem Josiah , Van Gogh",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000865,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,stedelijk-museum-amsterdam-netherlands,loan,1953-07-24,1953-09-20,explicit_dates,"de Gruyter, Willem Josiah , Van Gogh",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000866,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,musee-de-lorangerie-paris-france,loan,1954-11-16,1955-02-28,explicit_dates,Van Gogh et les peintres d'Auvers-sur-Oise,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000867,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,kroller-muller-museum-ede-netherlands,loan,1990-03-30,1990-07-29,explicit_dates,Vincent Van Gogh (dessins),,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000868,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,grand-palais-paris-france,loan,1999-01-28,1999-04-26,explicit_dates,Un ami de Cézanne et Van Gogh : le docteur Gachet,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000869,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,the-metropolitan-museum-of-art-new-york-city-us,loan,1999-05-17,1999-08-15,explicit_dates,Un ami de Cézanne et Van Gogh : le docteur Gachet,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000870,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,van-gogh-museum-amsterdam-netherlands,loan,1999-09-24,1999-12-05,explicit_dates,Un ami de Cézanne et Van Gogh : le docteur Gachet,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000871,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,van-gogh-museum-amsterdam-netherlands,loan,2020-02-21,2020-05-24,explicit_dates,In the picture : portraying the artist,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000872,artwork_0000268,vincent-van-gogh,Portrait de l'artiste,musee-dorsay-paris-france,the-courtauld-gallery-london-uk,loan,2022-02-03,2022-05-08,explicit_dates,Self-Portraits,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/portrait-de-lartiste-747,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000873,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,musee-cantini-6th-arrondissement-of-marseille-france,loan,1965-05-17,1965-08-15,explicit_dates,Expressionnisme allemand 1900-1920,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000874,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,fondation-maeght-saint-paul-de-vence-france,loan,1973-07-13,1973-09-30,explicit_dates,André Malraux,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000875,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,national-museum-of-western-art-tokyo-japan,loan,1985-10-12,1985-12-08,explicit_dates,Vincent van Gogh Exhibition,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000876,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,nagoya-city-art-museum-nagoya-japan,loan,1985-12-19,1986-02-02,explicit_dates,Vincent van Gogh Exhibition,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000877,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,grand-palais-paris-france,loan,1988-05-17,1988-08-15,explicit_dates,"Lacambre, Geneviève, Le Japonisme",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000879,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,national-gallery-of-australia-canberra-australia,loan,2009-12-04,2010-04-18,explicit_dates,"Van Gogh, Gauguin, Cézanne & beyond, Post-Impressionism from the Musée d'Orsay",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000878,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,the-national-art-center-tokyo-japan,loan,2010-05-26,2010-08-16,explicit_dates,Post-impressionnisme - 115 chefs-d'oeuvre de la collection du musée d'Orsay,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000880,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,de-young-museum-san-francisco-us,loan,2010-09-25,2011-01-18,explicit_dates,"Van Gogh, Gauguin, Cézanne & beyond, Post-Impressionism from the Musée d'Orsay",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000881,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,the-phillips-collection-washington-us,loan,2013-10-12,2014-02-02,explicit_dates,Van Gogh repetitions,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000882,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,the-cleveland-museum-of-art-cleveland-us,loan,2014-03-02,2014-05-26,explicit_dates,Van Gogh repetitions,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000883,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,national-museum-of-western-art-tokyo-japan,loan,2019-06-11,2019-09-23,explicit_dates,60ème anniversaire du musée national d'art occidental,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000884,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,national-museum-of-western-art-tokyo-japan,loan,2019-06-11,2019-09-23,explicit_dates,The Matsukata collection : a one-hundred-year Odyssey,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000885,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,louvre-museum-paris-france,loan,2022-10-12,2023-01-23,explicit_dates,"Bertrand Dorléac, Laurence, Les choses : une histoire de la nature morte",,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
movement_0000886,artwork_0000269,vincent-van-gogh,La Chambre de Van Gogh à Arles,musee-dorsay-paris-france,louvre-abu-dhabi-united-arab-emirates,loan,2024-10-16,2025-02-09,explicit_dates,Post-impressionnisme : au-delà des apparences,,museum_collection_page,Musee d'Orsay object page exhibition catalog references,https://www.musee-orsay.fr/en/artworks/la-chambre-de-van-gogh-arles-746,,HIGH,Borrower institution and dates parsed from official Musee d'Orsay cat. exp. references.,2026-03-08
